State,County,ZIP,Target Home Value Range,Estimated Population,Estimated Lead Volume,Priority,Reason,Suggested Lead Pull Criteria
AL,Greenville Zip Market,36037,$98k-$256k,27.0,27.0,High,"Within the configured 45-minute drive market for Montgomery; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Mulga Zip Market,35118,$75k-$191k,13.0,13.0,High,"Within the configured 45-minute drive market for Birmingham; one of the next densest available residential ZIPs needed to preserve report volume; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Wilmer Zip Market,36587,$161k-$350k,21.0,21.0,High,"Within the configured 45-minute drive market for Mobile; one of the next densest available residential ZIPs needed to preserve report volume; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Mobile Zip Market,36607,$94k-$244k,21.0,21.0,High,"Within the configured 45-minute drive market for Mobile; one of the next densest available residential ZIPs needed to preserve report volume; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Montgomery Zip Market,36105,$75k-$99k,46.0,46.0,High,"Within the configured 45-minute drive market for Montgomery; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35221,$75k-$136k,15.0,15.0,Medium,"Within the configured 45-minute drive market for Birmingham; one of the next densest available residential ZIPs needed to preserve report volume; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Tanner Zip Market,35671,$166k-$350k,12.0,12.0,Medium,"Within the configured 45-minute drive market for Huntsville; one of the next densest available residential ZIPs needed to preserve report volume; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Scottsboro Zip Market,35768,$133k-$346k,41.0,41.0,Medium,"Within the configured 45-minute drive market for Huntsville; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Montgomery Zip Market,36110,$75k-$99k,37.0,37.0,Medium,"Within the configured 45-minute drive market for Montgomery; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35223,$508k-$350k,27.0,27.0,Medium,"Within the configured 45-minute drive market for Birmingham; dense residential inventory; strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
