State,County,ZIP,Target Home Value Range,Estimated Population,Estimated Lead Volume,Priority,Reason,Suggested Lead Pull Criteria
AL,Foley Zip Market,36535,$182k-$350k,324.0,324.0,High,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Calera Zip Market,35040,$142k-$350k,102.0,102.0,High,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Montgomery Zip Market,36117,$178k-$350k,213.0,213.0,High,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Birmingham Zip Market,35215,$76k-$199k,176.0,176.0,High,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Daphne Zip Market,36526,$207k-$350k,266.0,266.0,High,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Bessemer Zip Market,35023,$94k-$247k,115.0,115.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Montgomery Zip Market,36109,$89k-$233k,121.0,121.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Florence Zip Market,35630,$113k-$295k,103.0,103.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Decatur Zip Market,35603,$175k-$350k,156.0,156.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Athens Zip Market,35611,$170k-$350k,221.0,221.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Huntsville Zip Market,35811,$194k-$350k,199.0,199.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Madison Zip Market,35758,$236k-$350k,189.0,189.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Odenville Zip Market,35120,$147k-$350k,78.0,78.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
AL,Trussville Zip Market,35173,$236k-$350k,162.0,162.0,Medium,"Strong pending ratio, healthy active inventory, good price range, and enough estimated lead volume.",Absentee owners; high equity; vacant; tired landlords; out-of-state owners; pre-foreclosure if available; probate if available; ownership length 7+ years; property value inside recommended range.
